Word,term_id
found,596
kintoki,597
golden,598
hair,599
doppelgang,600
regain,601
former,602
posit,603
need,604
help,605
around,606
troubl,607
feat,608
claim,609
throne,610
main,611
addit,612
make,613
trip,614
red,615
light,616
yoshiwara,617
elderli,618
courtesan,619
lover,620
although,621
longer,622
beneath,623
earth,624
surfac,625
trio,626
tragic,627
backstori,628
inhabit,629
haunt,630
flashback,631
wit,632
everlast,633
protect,634
heart,635
enchousen,636
includ,637
pack,638
intens,639
lightheart,640
slapstick,641
movi,642
resist,643
bakufu,644
gang,645
hide,646
katsura,647
joui,648
rebel,649
approach,650
nobum,651
imai,652
kiheitai,653
explain,654
harusam,655
pirat,656
turn,657
7th,658
divis,659
captain,660
kamui,661
takasugi,662
job,663
miss,664
sinc,665
ambush,666
raid,667
stun,668
regard,669
tendoushuu,670
pull,671
numer,672
faction,673
utsuro,674
shadowi,675
figur,676
uncanni,677
resembl,678
teacher,679
hitch,680
ride,681
sakamoto,682
space,683
rakuy,684
variou,685
gather,686
tension,687
brew,688
held,689
grudg,690
polit,691
infight,692
sinist,693
overarch,694
plan,695
final,696
culmin,697
massiv,698
decis,699
second,700
school,701
rei,702
kiriyama,703
push,704
profession,705
shogi,706
well,707
surround,708
hall,709
club,710
local,711
commun,712
solitari,713
shell,714
begin,715
crack,716
among,717
kawamoto,718
akari,719
hinata,720
momo,721
forg,722
affection,723
tie,724
everyon,725
reli,726
other,727
nonetheless,728
easi,729
tournament,730
championship,731
titl,732
match,733
pressur,734
mount,735
advanc,736
skill,737
oppon,738
manag,739
relationship,740
close,741
player,742
game,743
defin,744
career,745
wild,746
youth,747
elementari,748
student,749
shouya,750
ishida,751
sought,752
beat,753
boredom,754
cruelest,755
deaf,756
shouko,757
nishimiya,758
transfer,759
class,760
thoughtlessli,761
bulli,762
notifi,763
singl,764
blame,765
done,766
merci,767
classmat,768
heartlessli,769
ostrac,770
middl,771
blind,772
eye,773
third,774
plagu,775
wrongdo,776
sincer,777
regret,778
redempt,779
amend,780
koe,781
katachi,782
tell,783
heartwarm,784
tale,785
reunion,786
honest,787
redeem,788
shadow,789
clannad,790
stori,791
sequel,792
slice,793
seri,794
tomoya,795
okazaki,796
nagisa,797
furukawa,798
graduat,799
rollercoast,800
unabl,801
decid,802
cours,803
valu,804
ethic,805
strength,806
